algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
mpi-ring,2,float,33554432,mean,0.00585812,5.72785,5.72785,52
mpi-ring,2,float,33554432,median,0.00584599,5.73974,5.73974,52
mpi-ring,2,float,33554432,max,0.00666438,5.03489,5.03489,52
mpi-ring,2,float,33554432,stddev,0.000312761,107.284,107.284,52
mpi-ring,2,float,67108864,min,0.0162412,4.13201,4.13201,18
mpi-ring,2,float,67108864,mean,0.0167962,3.99548,3.99548,18
mpi-ring,2,float,67108864,median,0.0167878,3.99749,3.99749,18
mpi-ring,2,float,67108864,max,0.0173518,3.86755,3.86755,18
mpi-ring,2,float,67108864,stddev,0.000353843,189.657,189.657,18
mpi-ring,2,float,134217728,min,0.0328482,4.08599,4.08599,9
mpi-ring,2,float,134217728,mean,0.0337726,3.97416,3.97416,9
mpi-ring,2,float,134217728,median,0.0338511,3.96495,3.96495,9
mpi-ring,2,float,134217728,max,0.0342237,3.92178,3.92178,9
mpi-ring,2,float,134217728,stddev,0.00041292,325.046,325.046,9
ring,3,float,8,min,7.72e-07,0.0103627,0.0138169,1000
ring,3,float,8,mean,1.02065e-06,0.00783818,0.0104509,1000
ring,3,float,8,median,9.95e-07,0.0080402,0.0107203,1000
ring,3,float,8,max,9e-06,0.000888889,0.00118519,1000
ring,3,float,8,stddev,3.6997e-07,0.0216234,0.0288312,1000
mpi-default,3,float,8,min,4.28e-07,0.0186916,0.0249221,1000
mpi-default,3,float,8,mean,6.2545e-07,0.0127908,0.0170544,1000
mpi-default,3,float,8,median,6.19e-07,0.0129241,0.0172321,1000
mpi-default,3,float,8,max,3.09e-06,0.002589,0.003452,1000
mpi-default,3,float,8,stddev,1.13217e-07,0.0706609,0.0942145,1000
ring,3,float,16,min,8.13e-07,0.0196802,0.0262403,1000
ring,3,float,16,mean,1.05106e-06,0.0152227,0.0202969,1000
ring,3,float,16,median,1.004e-06,0.0159363,0.0212483,1000
ring,3,float,16,max,3.3829e-05,0.000472967,0.000630623,1000
ring,3,float,16,stddev,1.06193e-06,0.0150669,0.0200892,1000
mpi-default,3,float,16,min,5.33e-07,0.0300188,0.040025,1000
